i,Date,Value
199,1990-10-15,2354.95
200,1990-10-16,2366.83
201,1990-10-17,2358.17
202,1990-10-18,2391.83
203,1990-10-19,2453.47
204,1990-10-22,2476.73
205,1990-10-23,2480.2
206,1990-10-24,2470.54
207,1990-10-25,2464.11
208,1990-10-26,2429.21
209,1990-10-29,2407.67
210,1990-10-30,2400.5
211,1990-10-31,2419.55
212,1990-11-01,2415.59
213,1990-11-02,2447.28
214,1990-11-05,2472.77
215,1990-11-06,2471.53
216,1990-11-07,2430.94
217,1990-11-08,2415.84
218,1990-11-09,2438.61
219,1990-11-12,2490.1
220,1990-11-13,2512.38
221,1990-11-14,2522.77
222,1990-11-15,2528.71
223,1990-11-16,2522.28
224,1990-11-19,2543.07
225,1990-11-20,2524.01
226,1990-11-21,2502.72
227,1990-11-23,2521.04
228,1990-11-26,2489.85
229,1990-11-27,2516.09
230,1990-11-28,2521.04
231,1990-11-29,2501.23
232,1990-11-30,2498.51
233,1990-12-03,2543.56
234,1990-12-04,2534.65
235,1990-12-05,2558.42
236,1990-12-06,2589.36
237,1990-12-07,2571.78
238,1990-12-10,2566.58
239,1990-12-11,2565.59
240,1990-12-12,2578.22
241,1990-12-13,2598.76
242,1990-12-14,2572.03
243,1990-12-17,2563.61
244,1990-12-18,2583.17
245,1990-12-19,2602.48
246,1990-12-20,2591.58
247,1990-12-21,2619.55
248,1990-12-24,2609.65
249,1990-12-26,2613.37
250,1990-12-27,2616.58
251,1990-12-28,2607.92
252,1990-12-31,2611.14
253,1991-01-02,2600.99
254,1991-01-03,2567.57
255,1991-01-04,2540.84
256,1991-01-07,2514.11
257,1991-01-08,2493.07
258,1991-01-09,2456.19
259,1991-01-10,2467.08
260,1991-01-11,2472.77
261,1991-01-14,2447.03
262,1991-01-15,2470.05
263,1991-01-16,2475.99
264,1991-01-17,2571.78
265,1991-01-18,2600.25
266,1991-01-21,2602.97
267,1991-01-22,2586.39
268,1991-01-23,2584.65
269,1991-01-24,2615.1
270,1991-01-25,2623.27
271,1991-01-28,2635.15
272,1991-01-29,2627.23
273,1991-01-30,2654.7
274,1991-01-31,2691.58
275,1991-02-01,2694.31
276,1991-02-04,2714.85
277,1991-02-05,2742.82
278,1991-02-06,2760.15
279,1991-02-07,2790.59
280,1991-02-08,2787.13
281,1991-02-11,2822.52
282,1991-02-12,2848.27
283,1991-02-13,2848.51
284,1991-02-14,2852.48
285,1991-02-15,2868.07
286,1991-02-19,2895.3
287,1991-02-20,2879.46
288,1991-02-21,2871.29
289,1991-02-22,2860.4
290,1991-02-25,2865.35
291,1991-02-26,2840.1
292,1991-02-27,2839.85
293,1991-02-28,2858.42
294,1991-03-01,2846.78
295,1991-03-04,2897.03
296,1991-03-05,2913.86
297,1991-03-06,2957.67
298,1991-03-07,2948.51
299,1991-03-08,2934.9
300,1991-03-11,2923.27
301,1991-03-12,2906.68
