,country,population,region
134,Moldova,3556397.0,Europe & Central Asia
135,Madagascar,23571713.0,Sub-Saharan Africa
136,Maldives,401000.0,South Asia
137,Middle East & North Africa (all income levels),417451788.0,
138,Mexico,125385833.0,Latin America & Caribbean
139,Marshall Islands,52898.0,East Asia & Pacific
140,Middle income,5239285115.0,
141,"Macedonia, FYR",2075625.0,Europe & Central Asia
142,Mali,17086022.0,Sub-Saharan Africa
143,Malta,427364.0,Middle East & North Africa
144,Myanmar,53437159.0,East Asia & Pacific
145,Montenegro,621810.0,Europe & Central Asia
146,Mongolia,2909871.0,East Asia & Pacific
147,Northern Mariana Islands,54541.0,East Asia & Pacific
148,Mozambique,27216276.0,Sub-Saharan Africa
149,Mauritania,3969625.0,Sub-Saharan Africa
150,Mauritius,1260934.0,Sub-Saharan Africa
151,Malawi,16695253.0,Sub-Saharan Africa
152,Malaysia,29901997.0,East Asia & Pacific
153,North America,354465895.0,
154,Namibia,2402858.0,Sub-Saharan Africa
155,New Caledonia,266000.0,East Asia & Pacific
156,Niger,19113728.0,Sub-Saharan Africa
157,Nigeria,177475986.0,Sub-Saharan Africa
158,Nicaragua,6013913.0,Latin America & Caribbean
159,Netherlands,16865008.0,Europe & Central Asia
160,High income: nonOECD,328773073.0,
161,Norway,5136886.0,Europe & Central Asia
162,Nepal,28174724.0,South Asia
163,New Zealand,4509700.0,East Asia & Pacific
164,High income: OECD,1069655987.0,
165,OECD members,1270974168.0,
166,Oman,4236057.0,Middle East & North Africa
167,Other small states,20937048.0,
168,Pakistan,185044286.0,South Asia
169,Panama,3867535.0,Latin America & Caribbean
170,Peru,30973148.0,Latin America & Caribbean
171,Philippines,99138690.0,East Asia & Pacific
172,Palau,21097.0,East Asia & Pacific
173,Papua New Guinea,7463577.0,East Asia & Pacific
174,Poland,38011735.0,Europe & Central Asia
175,Puerto Rico,3548397.0,Latin America & Caribbean
176,Portugal,10401062.0,Europe & Central Asia
177,Paraguay,6552518.0,Latin America & Caribbean
178,Pacific island small states,2313337.0,
179,French Polynesia,279781.0,East Asia & Pacific
180,Qatar,2172065.0,Middle East & North Africa
181,Romania,19904360.0,Europe & Central Asia
182,Russian Federation,143819569.0,Europe & Central Asia
183,Rwanda,11341544.0,Sub-Saharan Africa
184,South Asia,1721152580.0,
185,Saudi Arabia,30886545.0,Middle East & North Africa
186,Sudan,39350274.0,Sub-Saharan Africa
187,Senegal,14672557.0,Sub-Saharan Africa
188,Singapore,5469724.0,East Asia & Pacific
189,Solomon Islands,572171.0,East Asia & Pacific
190,Sierra Leone,6315627.0,Sub-Saharan Africa
191,El Salvador,6107706.0,Latin America & Caribbean
192,San Marino,31595.0,Europe & Central Asia
193,Somalia,10517569.0,Sub-Saharan Africa
194,Serbia,7129366.0,Europe & Central Asia
195,South Sudan,11911184.0,Sub-Saharan Africa
196,Sub-Saharan Africa (all income levels),974315197.0,
197,Small states,30263242.0,
198,Suriname,538248.0,Latin America & Caribbean
199,Slovak Republic,5418649.0,Europe & Central Asia
200,Slovenia,2061980.0,Europe & Central Asia
201,Sweden,9696110.0,Europe & Central Asia
202,Swaziland,1269112.0,Sub-Saharan Africa
203,Sint Maarten (Dutch part),37685.0,Latin America & Caribbean
204,Seychelles,91400.0,Sub-Saharan Africa
205,Syrian Arab Republic,22157800.0,Middle East & North Africa
206,Turks and Caicos Islands,33740.0,Latin America & Caribbean
207,Chad,13587053.0,Sub-Saharan Africa
208,Togo,7115163.0,Sub-Saharan Africa
209,Thailand,67725979.0,East Asia & Pacific
210,Tajikistan,8295840.0,Europe & Central Asia
211,Turkmenistan,5307188.0,Europe & Central Asia
212,Timor-Leste,1212107.0,East Asia & Pacific
213,Tonga,105586.0,East Asia & Pacific
214,Trinidad and Tobago,1354483.0,Latin America & Caribbean
215,Tunisia,10996600.0,Middle East & North Africa
216,Turkey,75932348.0,Europe & Central Asia
217,Tuvalu,9893.0,East Asia & Pacific
218,Tanzania,51822621.0,Sub-Saharan Africa
219,Uganda,37782971.0,Sub-Saharan Africa
220,Ukraine,45362900.0,Europe & Central Asia
221,Upper middle income,2360817817.0,
222,Uruguay,3419516.0,Latin America & Caribbean
223,United States,318857056.0,North America
224,Uzbekistan,30757700.0,Europe & Central Asia
225,St. Vincent and the Grenadines,109360.0,Latin America & Caribbean
226,"Venezuela, RB",30693827.0,Latin America & Caribbean
227,Virgin Islands (U.S.),104170.0,Latin America & Caribbean
228,Vietnam,90728900.0,East Asia & Pacific
229,Vanuatu,258883.0,East Asia & Pacific
230,West Bank and Gaza,4294682.0,Middle East & North Africa
231,World,7259691769.0,
232,Samoa,191845.0,East Asia & Pacific
233,"Yemen, Rep.",26183676.0,Middle East & North Africa
234,South Africa,54001953.0,Sub-Saharan Africa
235,"Congo, Dem. Rep.",74877030.0,Sub-Saharan Africa
236,Zambia,15721343.0,Sub-Saharan Africa
237,Zimbabwe,15245855.0,Sub-Saharan Africa
